TS,BMS-State,BMS-Fault,BMS-Voltage,Voltage-Charge,Esc-Voltage,Esc-IBat,I-In,I-Charge,SoC,SoH,maxTemp(°C),bmsTemp(°C),Ah,Wh,Bal,V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-9,V-10,V-11,V-12,V-13,V-14,V-15,V-16,V-17,V-18,V-19,V-20,T-1,T-2
15:09:33.8,Idle,NO FAULT,74.3,0.0,74.9,0.0,0.00,0.20,0%,0%,25.4,30.0,0.00,0.0,0,3.715,3.715,3.716,3.716,3.715,3.716,3.715,3.715,3.714,3.716,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.716,3.715,3.711,25.4,25.4
15:10:01.8,Idle,NO FAULT,74.3,0.0,74.9,0.0,0.00,0.19,0%,0%,25.4,30.3,0.00,0.0,0,3.716,3.715,3.716,3.716,3.715,3.717,3.715,3.715,3.715,3.716,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.716,3.715,3.711,25.4,25.4
15:10:13.3,Idle,NO FAULT,74.6,0.0,74.9,0.0,0.00,2.06,0%,0%,25.4,30.6,0.00,0.0,0,3.758,3.736,3.736,3.736,3.734,3.733,3.734,3.733,3.731,3.732,3.730,3.730,3.730,3.729,3.728,3.726,3.725,3.742,3.722,3.717,25.4,25.4
15:10:22.9,Idle,NO FAULT,73.2,0.0,74.9,0.0,0.00,2.73,0%,0%,25.5,30.9,0.00,0.0,0,3.609,3.641,3.644,3.646,3.652,3.653,3.657,3.661,3.667,3.669,3.670,3.670,3.673,3.672,3.672,3.671,3.675,3.651,3.667,3.657,25.5,25.5
-
15:11:41.7,Idle,NO FAULT,74.2,0.0,74.8,0.0,0.00,0.20,0%,0%,25.7,31.4,0.00,0.0,0,3.710,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.710,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.712,3.711,3.707,25.6,25.7
15:12:07.7,Idle,NO FAULT,74.2,0.0,74.8,0.0,0.00,0.20,0%,0%,25.7,31.6,0.00,0.0,0,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.711,3.713,3.711,3.707,25.6,25.7
-
15:14:09.5,Idle,NO FAULT,74.2,0.0,74.8,0.0,0.00,0.20,0%,0%,25.9,33.4,0.00,0.0,0,3.711,3.711,3.711,3.711,3.711,3.712,3.711,3.711,3.711,3.712,3.712,3.711,3.711,3.711,3.711,3.711,3.711,3.712,3.711,3.707,25.8,25.9
15:14:18.8,Idle,NO FAULT,74.2,0.0,74.7,0.3,0.00,0.52,0%,0%,25.9,33.5,0.00,0.0,0,3.712,3.711,3.712,3.711,3.711,3.712,3.711,3.712,3.710,3.713,3.712,3.712,3.711,3.711,3.712,3.711,3.711,3.713,3.711,3.708,25.8,25.9
-
15:17:04.7,Idle,NO FAULT,74.2,0.0,74.7,0.0,0.00,0.52,0%,0%,26.1,35.3,0.00,0.0,0,3.712,3.710,3.711,3.711,3.710,3.711,3.710,3.710,3.709,3.710,3.711,3.710,3.710,3.710,3.710,3.710,3.710,3.711,3.710,3.706,26.0,26.1
-
16:16:22.8,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.7,36.1,0.00,0.0,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.709,26.3,26.7
16:16:59.6,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.7,36.1,0.00,0.0,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.709,26.3,26.7
16:17:52.9,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.8,36.2,0.00,0.0,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.709,26.3,26.8
16:18:51.0,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.8,36.2,0.00,0.0,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.709,26.3,26.8
16:20:17.5,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.8,36.3,0.00,0.0,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.708,26.3,26.8
16:20:53.7,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.8,36.3,0.00,0.0,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.709,26.3,26.8
16:28:39.4,Idle,NO FAULT,74.2,0.0,0.0,0.0,0.00,0.14,0%,0%,26.8,31.1,0.00,0.0,0,3.712,3.712,3.712,3.712,3.711,3.712,3.712,3.712,3.710,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.714,3.712,3.708,26.4,26.8
-
